year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,20,472,0cfff948,0000000000000000
0,0,0,0,7,20,482,0cfff348,0400040004001500
0,0,0,0,7,20,482,0cfffa48,000000000000ffff
0,0,0,0,7,20,492,0cfff448,0000000000000000
0,0,0,0,7,20,492,0cfffb48,0000000000000000
0,0,0,0,7,20,502,0cfff048,000000000e016400
0,0,0,0,7,20,502,0cfffc48,0000000000000000
0,0,0,0,7,20,512,0cfff148,be05be05000000ff
0,0,0,0,7,20,512,0cfffd48,e8035b050004e803
0,0,0,0,7,20,522,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,532,0cffd048,0000000000000000
0,0,0,0,7,20,552,0cfff048,000000000e016400
0,0,0,0,7,20,552,0cfff748,0000000000000000
0,0,0,0,7,20,564,0cfff148,be05be05000000ff
0,0,0,0,7,20,564,0cfff848,00000000e8030000
0,0,0,0,7,20,573,0cfff248,0400050004000400
0,0,0,0,7,20,573,0cfff948,0000000000000000
0,0,0,0,7,20,582,0cfff348,0400040004001500
0,0,0,0,7,20,582,0cfffa48,000000000000ffff
0,0,0,0,7,20,592,0cfff448,0000000000000000
0,0,0,0,7,20,592,0cfffb48,0000000000000000
0,0,0,0,7,20,592,0cfff048,000000000e016400
0,0,0,0,7,20,592,0cfffc48,0000000000000000
0,0,0,0,7,20,592,0cfff148,be05be05000000ff
0,0,0,0,7,20,592,0cfffd48,e8035b050004e803
0,0,0,0,7,20,622,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,632,0cffd048,0000000000000000
0,0,0,0,7,20,652,0cfff048,000000000e016400
0,0,0,0,7,20,652,0cfff748,0000000000000000
0,0,0,0,7,20,662,0cfff148,be05be05000000ff
0,0,0,0,7,20,662,0cfff848,00000000e8030000
0,0,0,0,7,20,672,0cfff248,0400050006000400
0,0,0,0,7,20,672,0cfff948,0000000000000000
0,0,0,0,7,20,682,0cfff348,0400040004001500
0,0,0,0,7,20,682,0cfffa48,000000000000ffff
0,0,0,0,7,20,692,0cfff448,0000000000000000
0,0,0,0,7,20,692,0cfffb48,0000000000000000
0,0,0,0,7,20,702,0cfff048,000000000e016400
0,0,0,0,7,20,702,0cfffc48,0000000000000000
0,0,0,0,7,20,712,0cfff148,be05be05000000ff
0,0,0,0,7,20,712,0cfffd48,e8035b050004e803
0,0,0,0,7,20,722,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,732,0cffd048,0000000000000000
0,0,0,0,7,20,752,0cfff048,000000000e016400
0,0,0,0,7,20,752,0cfff748,0000000000000000
0,0,0,0,7,20,762,0cfff148,be05be05000000ff
0,0,0,0,7,20,762,0cfff848,00000000e8030000
0,0,0,0,7,20,772,0cfff248,0400040005000400
0,0,0,0,7,20,772,0cfff948,0000000000000000
0,0,0,0,7,20,782,0cfff348,0400040004001500
0,0,0,0,7,20,782,0cfffa48,000000000000ffff
0,0,0,0,7,20,792,0cfff448,0000000000000000
